2025/12/31 10:29:18 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/31 11:48:36 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/31 11:48:36 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/31 11:48:36 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/31 11:48:37 logger.go:37: WARN: Failed to get active window on Wayland: no suitable tool found (Hyprctl, Wlrctl)
2025/12/31 11:48:37 logger.go:37: WARN: Failed to get active window on Wayland: no suitable tool found (Hyprctl, Wlrctl)
2025/12/31 13:10:12 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/31 13:10:12 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/31 13:49:42 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/31 13:49:42 logger.go:29: INFO: CUSTOM THEME DISABLED
2025/12/31 14:48:49 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/01 10:42:46 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/01 10:42:50 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/01 10:42:50 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/01 10:42:50 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/01 13:42:05 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/01 13:42:18 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/01 13:42:18 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/01 13:42:33 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/01 13:42:49 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/01 13:42:49 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/01 13:42:49 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/01 13:47:42 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/01 13:47:42 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/01 15:03:50 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/01 17:55:29 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/02 10:07:12 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/02 11:47:27 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/02 11:47:27 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/02 12:30:33 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/02 12:30:33 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/02 12:30:33 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/02 12:30:33 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/02 13:04:21 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/02 13:06:32 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/02 13:06:39 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/02 16:38:26 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/02 16:38:26 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/02 16:40:13 logger.go:29: INFO: CUSTOM THEME DISABLED
2026/01/02 16:40:13 logger.go:29: INFO: CUSTOM THEME DISABLED
